iter	RMSE
0	0.05013273317
1	0.04941130119
2	0.04885151974
3	0.04824556684
4	0.04758922783
5	0.04693757138
6	0.04639440809
7	0.04574618273
8	0.04519012706
9	0.0446284911
10	0.04408135107
11	0.04354812909
12	0.0429683431
13	0.04250395088
14	0.0420235618
15	0.04162165281
16	0.04107387175
17	0.04071908118
18	0.04019595524
19	0.03978136016
20	0.03932986619
21	0.03893059025
22	0.03849218726
23	0.03807881146
24	0.03762761955
25	0.03727749604
26	0.03697464906
27	0.03666919634
28	0.03633603493
29	0.03595470174
30	0.03565010221
31	0.03527630279
32	0.03494207555
33	0.03459976708
34	0.03428905302
35	0.03400934295
36	0.03376381589
37	0.03350812888
38	0.03322867711
39	0.03295062332
40	0.03268749829
41	0.03240086405
42	0.03220739862
43	0.03196506008
44	0.03170210439
45	0.03149765052
46	0.03126015312
47	0.03104500925
48	0.03084538797
49	0.03060326059
50	0.03043047615
51	0.03026039752
52	0.0300937738
53	0.02992586637
54	0.02977561782
55	0.02957570295
56	0.02946480871
57	0.02927173317
58	0.02909747646
59	0.02893465073
60	0.02881221561
61	0.02867601054
62	0.02853744593
63	0.02841500091
64	0.02824014943
65	0.02811099121
66	0.02801124026
67	0.02785757263
68	0.02771466063
69	0.02755128224
70	0.02746430711
71	0.02729513726
72	0.02714608768
73	0.02702799486
74	0.02691230019
75	0.02680990594
76	0.02665839999
77	0.02654272865
78	0.02644438449
79	0.02633213561
80	0.02623403061
81	0.02615341297
82	0.02607742677
83	0.02599485282
84	0.02592986775
85	0.02584060262
86	0.02572643931
87	0.02561379739
88	0.0255154738
89	0.02545151644
90	0.0253493883
91	0.02527897587
92	0.02521703904
93	0.02514541853
94	0.02507618925
95	0.02496916768
96	0.02490842757
97	0.0248312665
98	0.02474392327
99	0.02463943284
100	0.02455924582
101	0.02448139601
102	0.02440273986
103	0.02433505534
104	0.0242662205
105	0.02417128521
106	0.02409077909
107	0.02398214809
108	0.02392053248
109	0.02386149694
110	0.02379124267
111	0.02373433603
112	0.02368051492
113	0.02359720255
114	0.02352179585
115	0.02347487311
116	0.02342598169
117	0.02337868305
118	0.02333779025
119	0.02327284048
120	0.02321430261
121	0.0231635403
122	0.02310294621
123	0.02302779237
124	0.02297105212
125	0.02291056156
126	0.02286547064
127	0.02283619109
128	0.02274890734
129	0.02268316101
130	0.02265073405
131	0.02259906713
132	0.02258330824
133	0.02254044869
134	0.02249305304
135	0.02245357577
136	0.02241263937
137	0.02238046588
138	0.02231993708
139	0.02223617317
140	0.02217903543
141	0.02212658405
142	0.02208620429
143	0.0220321316
144	0.02198723619
145	0.02196059005
146	0.0219265412
147	0.02188630042
148	0.02187093809
149	0.02183724693
150	0.02178078986
151	0.02174582784
152	0.02170669945
153	0.02167584072
154	0.02162404718
155	0.0215891157
156	0.02155832116
157	0.02153717163
158	0.02151289407
159	0.02147065747
160	0.02145228021
161	0.02143284785
162	0.02140448178
163	0.02136587262
164	0.02133889809
165	0.02129269464
166	0.02122883486
167	0.02119715185
168	0.02118598377
169	0.02111624307
170	0.02109323837
171	0.02105655419
172	0.02102061607
173	0.02097069668
174	0.02095549804
175	0.02093973605
176	0.02091045186
177	0.02090517958
178	0.02087321703
179	0.02085293737
180	0.02082237129
181	0.02080568334
182	0.02080015122
183	0.02077252092
184	0.0207354709
185	0.02071891894
186	0.02069509008
187	0.02067456741
188	0.0206518141
189	0.02059624614
190	0.02055733256
191	0.0205281118
192	0.02047484547
193	0.02043963403
194	0.02041347475
195	0.02040832884
196	0.02035536736
197	0.02033550753
198	0.02030173645
199	0.02029262103
200	0.02025915476
201	0.02024378506
202	0.02022193562
203	0.02016259813
204	0.020101056
205	0.02004076248
206	0.02003388693
207	0.0200170825
208	0.01996515298
209	0.01993512987
210	0.01991267048
211	0.0198971403
212	0.0198914406
213	0.01984768582
214	0.01980147165
215	0.01978988252
216	0.01978030579
217	0.01974620978
218	0.01971042567
219	0.01969473259
220	0.01967259501
221	0.0196416688
222	0.01962450772
223	0.01959094483
224	0.01957872689
